date,inverter_state,pv1_i,pv1_u,mppt_power,active_power,efficiency,a_i,b_i,c_i,a_u,b_u,c_u,ab_u,bc_u,ca_u,inv_temperature,global_tilted_irradiance,diffuse_radiation,temperature_2m,wind_speed_10m,precipitation
2023-04-01 04:00:00+00:00,3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,48.054001,0.0,0.0,13.054001,8.759178,0.0
2023-04-01 04:05:00+00:00,3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,48.04566766666667,0.0,0.0,13.045667666666667,8.811550666666667,0.008333333333333333
2023-04-01 04:10:00+00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,48.037334333333334,0.0,0.0,13.037334333333332,8.863923333333334,0.016666666666666666
2023-04-01 04:15:00+00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,48.029001,0.0,0.0,13.029001,8.916296,0.025
2023-04-01 04:20:00+00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,48.02066766666667,0.0,0.0,13.020667666666666,8.968668666666668,0.03333333333333333
2023-04-01 04:25:00+00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,48.012334333333335,0.0,0.0,13.012334333333333,9.021041333333333,0.04166666666666667
2023-04-01 04:30:00+00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,48.004001,0.0,0.0,13.004001,9.073414,0.05
2023-04-01 04:35:00+00:00,3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.99566733333333,0.0,0.0,12.995667333333333,9.125786999999999,0.058333333333333334
2023-04-01 04:40:00+00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.987333666666665,0.0,0.0,12.987333666666666,9.17816,0.06666666666666667
2023-04-01 04:45:00+00:00,3,3.231069628878092e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.979,0.0,0.0,12.979,9.230533,0.075
2023-04-01 04:50:00+00:00,3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.970666666666666,0.0,0.0,12.970666666666666,9.2829055,0.08333333333333333
2023-04-01 04:55:00+00:00,3,3.2310463830764945e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.96233333333333,0.0,0.0,12.962333333333333,9.335277999999999,0.09166666666666667
2023-04-01 05:00:00+00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.954,0.0,0.0,12.954,9.3876505,0.1
2023-04-01 05:05:00+00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.945667,0.0,0.0,12.945667,9.318438333333333,0.125
2023-04-01 05:10:00+00:00,3,3.231011519342471e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.937334,0.0,0.0,12.937334,9.249226166666666,0.15
2023-04-01 05:15:00+00:00,3,3.2309998994225447e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.929001,0.0,0.0,12.929001,9.180014,0.175
2023-04-01 05:20:00+00:00,3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.920667333333334,0.0,0.0,12.920667333333332,9.110801333333333,0.19999999999999998
2023-04-01 05:25:00+00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.91233366666667,0.0,0.0,12.912333666666667,9.041588666666668,0.225
2023-04-01 05:30:00+00:00,3,6.461930087272966e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.903999999999996,0.0,0.0,12.904,8.972376,0.25
2023-04-01 05:35:00+00:00,3,6.4619068527311505e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.89566666666667,0.0,0.0,12.895666666666667,8.903163666666668,0.2750000066666667
2023-04-01 05:40:00+00:00,3,3.230941809756828e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.88733333333333,0.0,0.0,12.887333333333332,8.833951333333333,0.3000000133333333
2023-04-01 05:45:00+00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.879,0.0,0.0,12.879,8.764739,0.32500002
2023-04-01 05:50:00+00:00,3,3.2309185785256635e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.870666666666665,0.0,0.0,12.870666666666667,8.695526666666668,0.35000001333333336
2023-04-01 05:55:00+00:00,3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.86233333333333,0.0,0.0,12.862333333333332,8.626314333333333,0.37500000666666666
2023-04-01 06:00:00+00:00,3,3.2308953499426867e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.854,0.0,0.0,12.854,8.557102,0.4
2023-04-01 06:05:00+00:00,3,0.0022882930670878932,304.7332385027042,0.0006972562387247648,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.845666666666666,0.25,0.25,12.845666666666666,8.462476,0.43333333333333335
2023-04-01 06:10:00+00:00,3,0.0045788467066515985,317.5745107173998,0.001453988986393878,0.0,0.0,0.0,0.0,0.0,230,230,230,400,400,400,47.83733333333333,0.5,0.5,12.837333333333333,8.36785,0.4666666666666667
